route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
5,501 SA,[@1.0.241557723@][1749187136313]/32__501_SA,shape_276,Weichs/DEZ,,0,501 SA
5,7055604 SA bis 13.09.25,[@1.0.241557723@][1749187136313]/320__7055604_SA_bis_13.09.25,shape_99,,,1,7055604 SA bis 13.09.25
5,7055604 SA,[@1.0.241557723@][1749187136313]/320__7055604_SA,shape_99,,,1,7055604 SA
5,7039002,[@1.0.241557723@][1749187136313]/321__7039002,shape_81,,,1,7039002
5,7039552 SF/WF,[@1.0.241557723@][1749187136313]/321__7039552_SF/WF,shape_81,,,1,7039552 SF/WF
5,7039552 SF/WF bis 15.09.25,[@1.0.241557723@][1749187136313]/321__7039552_SF/WF_bis_15.09.25,shape_81,,,1,7039552 SF/WF bis 15.09.25
5,7039502 Ferien,[@1.0.241557723@][1749187136313]/321__7039502_Ferien,shape_81,,,1,7039502 Ferien
5,7024001 bis 15.09.25,[@1.0.241557723@][1749187136313]/322__7024001_bis_15.09.25,shape_99,,,1,7024001 bis 15.09.25
5,7024001,[@1.0.241557723@][1749187136313]/322__7024001,shape_99,,,1,7024001
5,7055604 SA,[@1.0.241557723@][1749187136313]/323__7055604_SA,shape_81,,,1,7055604 SA
5,7055604 SA bis 13.09.25,[@1.0.241557723@][1749187136313]/323__7055604_SA_bis_13.09.25,shape_81,,,1,7055604 SA bis 13.09.25
5,7055604 SIL,[@1.0.241557723@][1749187136313]/323__7055604_SIL,shape_81,,,1,7055604 SIL
5,801 SA,[@1.0.241557723@][1749187136313]/324__801_SA,shape_81,,,1,801 SA
5,801 SA bis 13.09.25[2025-8-2],[@1.0.241557723@][1749187136313]/324__801_SA_bis_13.09.25[2025-8-2],shape_81,,,1,801 SA bis 13.09.25[2025-8-2]
5,801 SIL,[@1.0.241557723@][1749187136313]/324__801_SIL,shape_81,,,1,801 SIL
5,801 SA[2025-9-20],[@1.0.241557723@][1749187136313]/324__801_SA[2025-9-20],shape_81,,,1,801 SA[2025-9-20]
5,7024001 bis 15.09.25,[@1.0.241557723@][1749187136313]/325__7024001_bis_15.09.25,shape_81,,,1,7024001 bis 15.09.25
5,7024001,[@1.0.241557723@][1749187136313]/325__7024001,shape_81,,,1,7024001
5,7057008[2025-9-16],[@1.0.241557723@][1749187136313]/326__7057008[2025-9-16],shape_81,,,1,7057008[2025-9-16]
